order,created_at,cancelled_at,total,customer,city
#1601,2026-06-28T20:52:02Z,,3950.0,CUST-0327,Multan
#1602,2026-06-28T22:18:55Z,,3145.0,CUST-0520,Karachi
#1603,2026-06-28T22:22:19Z,,3650.0,CUST-0521,Karachi
#1604,2026-06-28T23:37:00Z,,3950.0,CUST-0522,Lahore
#1605,2026-06-29T14:25:43Z,,6489.0,CUST-0523,Lahore
#1606,2026-06-29T18:29:24Z,,7489.0,CUST-0524,Lahore
#1607,2026-06-29T21:46:15Z,,2650.0,CUST-0525,Khairpur
#1608,2026-06-30T00:10:08Z,,2789.12,CUST-0061,Hyderabad
#1609,2026-06-30T05:31:14Z,,4350.0,CUST-0526,Gilgit
#1610,2026-06-30T06:03:15Z,,3145.0,CUST-0527,Lahore
#1611,2026-06-30T07:03:40Z,,4140.0,CUST-0528,Sialkot
#1612,2026-06-30T08:47:03Z,,3145.0,CUST-0529,Rawalpindi
#1613,2026-06-30T12:18:58Z,,5634.12,CUST-0530,Lahore
#1614,2026-06-30T13:44:05Z,,3950.0,CUST-0531,Islamabad
#1615,2026-06-30T14:47:24Z,,1600.0,CUST-0532,Karachi
#1616,2026-06-30T16:22:56Z,,8924.15,CUST-0533,Karachi
#1617,2026-06-30T16:29:08Z,,3145.0,CUST-0534,Gujrat
#1618,2026-06-30T17:00:24Z,,3650.0,CUST-0535,Islamabad
#1619,2026-06-30T18:54:11Z,,1600.0,CUST-0536,Lahore
#1620,2026-06-30T19:47:07Z,,3950.0,CUST-0537,Karachi
#1621,2026-06-30T19:56:12Z,,3649.0,CUST-0538,Lahore
#1622,2026-06-30T20:21:04Z,,3649.0,CUST-0539,Rawalpindi
#1623,2026-06-30T23:15:43Z,,13419.12,CUST-0540,Islamabad
#1624,2026-07-01T00:24:13Z,,3649.0,CUST-0484,Rawalpindi
#1625,2026-07-01T01:53:16Z,,2650.0,CUST-0541,Lahore
#1626,2026-07-01T11:31:50Z,,10429.12,CUST-0542,Rawalpindi
#1627,2026-07-01T12:01:00Z,,2650.0,CUST-0543,Karachi
#1628,2026-07-01T12:03:07Z,,3950.0,CUST-0544,Karachi
#1629,2026-07-01T14:17:00Z,,1600.0,CUST-0545,Lahore
#1630,2026-07-01T15:38:51Z,,5495.0,CUST-0546,Islamabad
#1631,2026-07-01T17:38:58Z,,3145.0,CUST-0547,Lahore
#1632,2026-07-01T20:28:11Z,,3650.0,CUST-0548,Lahore
