order,created_at,cancelled_at,total,customer,city
#1251,2026-05-21T13:00:28Z,,13993.0,CUST-0226,Rawalpindi
#1252,2026-05-21T13:03:58Z,,14294.0,CUST-0227,Rawalpindi
#1253,2026-05-21T13:08:47Z,,11299.0,CUST-0228,Islamabad
#1254,2026-05-21T13:11:22Z,,11295.0,CUST-0229,Lahore
#1255,2026-05-21T13:14:33Z,,11295.0,CUST-0230,Rawalpindi
#1256,2026-05-21T18:47:14Z,,3650.0,CUST-0231,Karachi
#1257,2026-05-22T21:21:35Z,,3145.0,CUST-0232,Lahore
#1258,2026-05-22T21:49:49Z,,3140.0,CUST-0233,Lahore
#1259,2026-05-22T22:21:39Z,,4650.0,CUST-0234,Lahore
#1260,2026-05-22T23:09:14Z,,3145.0,CUST-0235,Multan
#1261,2026-05-23T06:07:46Z,,3145.0,CUST-0236,Lahore
#1262,2026-05-23T06:08:36Z,,3145.0,CUST-0237,Karachi
#1263,2026-05-23T06:38:01Z,,3950.0,CUST-0238,Lahore
#1264,2026-05-23T07:39:40Z,,3140.0,CUST-0239,Islamabad
#1265,2026-05-23T09:05:02Z,,3950.0,CUST-0240,Lahore
#1266,2026-05-23T09:06:14Z,,3950.0,CUST-0240,Lahore
#1267,2026-05-23T10:27:26Z,,3145.0,CUST-0241,Karachi
#1268,2026-05-23T12:26:03Z,,3950.0,CUST-0242,Karachi
#1269,2026-05-23T15:34:10Z,,3145.0,CUST-0243,Lahore
#1270,2026-05-23T16:07:33Z,,3950.0,CUST-0244,Karachi
#1271,2026-05-23T20:09:16Z,,4650.0,CUST-0245,Gujranwala
#1272,2026-05-23T20:46:28Z,,4650.0,CUST-0246,Karachi
#1273,2026-05-23T21:08:30Z,,3145.0,CUST-0116,Lahore
#1274,2026-05-23T21:19:18Z,,3650.0,CUST-0247,Karachi
#1275,2026-05-23T21:50:43Z,2026-05-23T21:59:42Z,4500.0,CUST-0248,Sukkur
#1276,2026-05-23T21:50:51Z,,3650.0,CUST-0249,Lahore
#1277,2026-05-23T21:54:35Z,2026-05-24T16:52:40Z,4500.0,CUST-0248,Sukkur
#1278,2026-05-23T23:00:34Z,2026-05-29T13:32:45Z,4500.0,CUST-0250,Lahore
#1279,2026-05-24T11:05:16Z,2026-05-24T16:52:29Z,3950.0,CUST-0238,Lahore
#1280,2026-05-24T11:11:11Z,,3950.0,CUST-0238,Lahore
#1281,2026-05-24T11:44:50Z,,4200.0,CUST-0251,Rawalpindi
#1282,2026-05-24T16:48:28Z,,3650.0,CUST-0252,Okara
#1283,2026-05-24T17:20:24Z,,4775.0,CUST-0190,Rahim Yar Khan
#1284,2026-05-24T19:17:38Z,,3300.0,CUST-0253,Islamabad
#1285,2026-05-24T21:15:18Z,,3649.0,CUST-0254,Karachi
#1286,2026-05-25T09:32:03Z,,3145.0,CUST-0255,Rawalpindi
#1287,2026-05-25T10:33:16Z,,3145.0,CUST-0256,Lahore
#1288,2026-05-25T12:45:41Z,,3950.0,CUST-0257,Gujranwala
#1289,2026-05-25T14:54:29Z,,7300.0,CUST-0258,Islamabad
#1290,2026-05-25T17:27:12Z,,8624.12,CUST-0259,Islamabad
#1291,2026-05-25T21:24:40Z,,3145.0,CUST-0260,Lahore
#1292,2026-05-26T00:47:46Z,,3650.0,CUST-0261,Lahore
#1293,2026-05-26T18:01:30Z,,3145.0,CUST-0262,Karachi
#1294,2026-05-27T17:47:03Z,,3145.0,CUST-0263,Karachi
#1295,2026-05-27T19:01:12Z,,3145.0,CUST-0205,Karachi
#1296,2026-05-28T07:48:27Z,,3950.0,CUST-0006,Karachi
#1297,2026-05-28T11:45:45Z,,3950.0,CUST-0264,Lahore
#1298,2026-05-28T16:58:35Z,,2500.0,CUST-0265,Lahore
#1299,2026-05-29T14:46:47Z,,4425.0,CUST-0266,Mardan
#1300,2026-05-30T07:31:00Z,,6494.0,CUST-0267,Karachi
