product_title,gross_sales,discounts,net_sales,orders,net_items_sold
Y2K Wine Red Henley Fairycore Top,495730,-7522.85,466611.15,136,130
LACED WINE RED TRIM TOP,359705,-3294.5,335445.5,117,113
Ribbed blossom embroidered top,210380,-5010,201870,61,60
fairycore white skirt,171934,-18218.89,143158.63,56,53
Corset back pink button down,163689,-6162,153679.5,38,37
y2k white henley fairycore bow top,152649,-349.9,137750,38,36
Corset back blue button down,148893,-8269.5,119023.5,34,29
Baby Pink laced top,144400,-760,136420,38,36
Meangirl Tote bag & stickers,142800,-142170,630,204,197
Kuromi goth ribbed tee embroidered,140570,-3500,137070,40,40
Ribbed Bubbles embroidered top,135460,-1540,133920,38,39
Ribbed olive buttercup tee,90974,-1119.68,89854.32,26,26
brat cat top,90500,-1450,89050,37,37
Fairycore black skirt,62790,-299,59501,21,20
Black Henley Fairycore Top,48000,0,42000,16,14
the cherry top,32500,-2350,30150,16,16
matcha girl,29950,-145,29805,16,16
The ribbed olive tee,29400,0,29400,14,14
Pink Bow-tie cardigan,18000,-2250,15750,10,10
The Mean Hoodie,17000,0,17000,4,4
cat couture,12850,-1425,11425,8,8
strawberry pop,11700,0,11700,6,6
The spider tee,11400,-912,10488,5,5
heavy weight smooches tanktop,10200,0,10200,6,6
Essential Ribbed Tank Top,9600,0,9600,6,6
Black Bow-tie cardigan,9000,0,9000,5,5
stickers,4600,-4600,0,23,22
White Bow-tie cardigan,3600,0,3600,2,2
Test product,40,0,30,4,3
