order,created_at,cancelled_at,total,customer,city
#1201,2026-05-10T18:47:49Z,,3650.0,CUST-0121,Lahore
#1202,2026-05-11T07:27:21Z,,3650.0,CUST-0182,Karachi
#1203,2026-05-11T09:11:21Z,,5849.0,CUST-0183,Lahore
#1204,2026-05-11T11:18:44Z,,3650.0,CUST-0184,Karachi
#1205,2026-05-11T11:49:36Z,,3950.0,CUST-0185,Multan
#1206,2026-05-12T06:20:30Z,,3650.0,CUST-0186,Islamabad
#1207,2026-05-12T16:43:13Z,,2400.0,CUST-0138,Rahim Yar Khan
#1208,2026-05-12T19:44:28Z,,3450.0,CUST-0187,Bahawalpur
#1209,2026-05-12T20:11:17Z,,3650.0,CUST-0188,Rawalpindi
#1210,2026-05-13T01:15:54Z,,3650.0,CUST-0189,Karachi
#1211,2026-05-13T10:30:14Z,,7489.0,CUST-0190,Rahim Yar Khan
#1212,2026-05-13T16:27:06Z,,3950.0,CUST-0191,Gujranwala
#1213,2026-05-13T20:12:56Z,,4140.0,CUST-0192,Karachi
#1214,2026-05-14T02:14:41Z,,3950.0,CUST-0193,Lahore
#1215,2026-05-14T07:11:42Z,,3649.0,CUST-0194,Karachi
#1216,2026-05-14T16:56:57Z,,3950.0,CUST-0195,Rawalpindi
#1217,2026-05-14T19:24:41Z,,3649.0,CUST-0196,Karachi
#1218,2026-05-14T21:45:51Z,,3950.0,CUST-0197,Lahore
#1219,2026-05-15T05:47:25Z,,3950.0,CUST-0198,Karachi
#1220,2026-05-15T15:42:58Z,,3950.0,CUST-0199,Lahore
#1221,2026-05-15T16:41:40Z,,3950.0,CUST-0200,Lahore
#1222,2026-05-16T08:19:49Z,,5849.0,CUST-0201,Karachi
#1223,2026-05-16T08:29:49Z,,10989.0,CUST-0202,Muzaffarabad
#1224,2026-05-16T08:51:35Z,,11694.0,CUST-0203,Karachi
#1225,2026-05-16T09:01:05Z,,9997.0,CUST-0204,Karachi
#1226,2026-05-16T12:16:48Z,,3950.0,CUST-0205,Karachi
#1227,2026-05-16T16:25:31Z,,7299.0,CUST-0206,Lahore
#1228,2026-05-16T17:32:30Z,,3950.0,CUST-0207,Karachi
#1229,2026-05-17T11:46:22Z,,3650.0,CUST-0208,Lahore
#1230,2026-05-17T15:34:10Z,,3950.0,CUST-0209,Islamabad
#1231,2026-05-18T09:07:18Z,,2350.0,CUST-0210,Lahore
#1232,2026-05-18T09:09:55Z,,3950.0,CUST-0211,Lahore
#1233,2026-05-19T14:29:10Z,,6795.0,CUST-0003,Lahore
#1234,2026-05-19T15:09:38Z,,7600.0,CUST-0212,Peshawar
#1235,2026-05-19T17:49:37Z,,249.0,CUST-0213,Lahore
#1236,2026-05-19T21:27:35Z,,3950.0,CUST-0214,Karachi
#1237,2026-05-19T21:42:18Z,,6749.1,CUST-0087,Karachi
#1238,2026-05-20T12:46:43Z,,3649.0,CUST-0205,Karachi
#1239,2026-05-20T18:50:42Z,,3950.0,CUST-0215,Faisalabad
#1240,2026-05-21T04:08:51Z,,600.0,CUST-0208,Lahore
#1241,2026-05-21T07:50:55Z,,3950.0,CUST-0216,Lahore
#1242,2026-05-21T09:41:54Z,,3145.0,CUST-0217,Bahawalpur
#1243,2026-05-21T12:21:38Z,,13993.0,CUST-0218,Lahore
#1244,2026-05-21T12:30:41Z,,7299.0,CUST-0219,Karachi
#1245,2026-05-21T12:37:14Z,,15795.0,CUST-0220,Islamabad
#1246,2026-05-21T12:40:00Z,,16348.0,CUST-0221,Lahore
#1247,2026-05-21T12:46:11Z,,14285.0,CUST-0222,Lahore
#1248,2026-05-21T12:48:51Z,,12784.0,CUST-0223,Lahore
#1249,2026-05-21T12:51:46Z,,14994.0,CUST-0224,Karachi
#1250,2026-05-21T12:54:47Z,,11800.0,CUST-0225,Lahore
