order,created_at,cancelled_at,total,customer,city
#1101,2026-04-18T14:31:43Z,,5299.0,CUST-0097,Karachi
#1102,2026-04-18T15:02:43Z,,3649.0,CUST-0098,Lahore
#1103,2026-04-18T15:23:36Z,,5299.0,CUST-0099,Lahore
#1104,2026-04-18T22:38:54Z,,3649.0,CUST-0100,Multan
#1105,2026-04-18T23:35:46Z,,3150.0,CUST-0101,Sialkot
#1106,2026-04-19T04:21:22Z,,3649.0,CUST-0102,Faisalabad
#1107,2026-04-19T17:38:47Z,,2250.0,CUST-0103,Hyderabad
#1108,2026-04-20T13:17:03Z,,1950.0,CUST-0104,Sahiwal
#1109,2026-04-20T14:21:13Z,,1750.0,CUST-0105,Gujrat
#1110,2026-04-20T21:48:12Z,,3150.0,CUST-0106,Lahore
#1111,2026-04-21T07:12:38Z,,1950.0,CUST-0107,Islamabad
#1112,2026-04-21T08:53:09Z,,3649.0,CUST-0108,Abbottabad
#1113,2026-04-22T05:14:10Z,,1950.0,CUST-0097,Karachi
#1114,2026-04-23T16:27:56Z,,1950.0,CUST-0097,Karachi
#1115,2026-04-26T07:40:00Z,,3649.0,CUST-0043,Sialkot
#1116,2026-04-26T09:59:42Z,2026-04-26T10:06:29Z,3649.0,CUST-0109,Karachi
#1117,2026-04-26T12:45:45Z,,2250.0,CUST-0110,Karachi
#1118,2026-04-26T14:40:50Z,,1750.0,CUST-0111,Rawalpindi
#1119,2026-04-26T16:42:08Z,2026-04-27T08:31:56Z,3649.0,CUST-0112,Rawalpindi
#1120,2026-04-26T21:42:53Z,,3649.0,CUST-0113,Rawalpindi
#1121,2026-04-27T11:50:36Z,,3650.0,CUST-0114,Rawalpindi
#1122,2026-04-27T20:23:18Z,,4400.0,CUST-0115,Lahore
#1123,2026-04-28T15:07:31Z,,3649.0,CUST-0116,Lahore
#1124,2026-04-29T11:37:25Z,,1850.0,CUST-0117,Karachi
#1125,2026-04-29T14:09:58Z,,1950.0,CUST-0118,Karachi
#1126,2026-04-29T14:14:15Z,,3991.6,CUST-0119,Rawalpindi
#1127,2026-04-29T14:27:16Z,,4558.0,CUST-0120,Multan
#1128,2026-04-29T20:47:24Z,,3130.0,CUST-0121,Lahore
#1129,2026-04-30T12:12:13Z,,3950.0,CUST-0109,Karachi
#1130,2026-04-30T14:27:51Z,,2460.0,CUST-0122,Chakwal
#1131,2026-04-30T18:40:27Z,,3649.0,CUST-0123,Lahore
#1132,2026-05-01T21:31:00Z,2026-05-01T21:32:32Z,160.0,CUST-0001,Rawalpindi
#1133,2026-05-02T05:09:41Z,,1950.0,CUST-0124,Faisalabad
#1134,2026-05-02T08:41:47Z,,3650.0,CUST-0115,Lahore
#1135,2026-05-03T21:13:53Z,,2650.0,CUST-0125,Karachi
#1136,2026-05-03T22:09:04Z,,3650.0,CUST-0126,Rawalpindi
#1137,2026-05-03T22:33:46Z,,2650.0,CUST-0018,Bahawalnagar
#1138,2026-05-03T23:01:47Z,,2500.0,CUST-0127,Kotri
#1139,2026-05-03T23:22:12Z,,0.0,CUST-0128,Lahore
#1140,2026-05-03T23:30:23Z,,5850.0,CUST-0129,Karachi
#1141,2026-05-03T23:43:10Z,,2500.0,CUST-0130,Karachi
#1142,2026-05-04T00:22:12Z,,2650.0,CUST-0131,Rawalpindi
#1143,2026-05-04T00:26:20Z,,2650.0,CUST-0132,Mirpurkhas
#1144,2026-05-04T00:44:05Z,,2650.0,CUST-0133,Multan
#1145,2026-05-04T00:55:05Z,,8200.0,CUST-0134,Lahore
#1146,2026-05-04T02:41:38Z,,6900.0,CUST-0135,Lahore
#1147,2026-05-04T05:09:29Z,,3650.0,CUST-0136,Jhelum
#1148,2026-05-04T06:10:54Z,,5850.0,CUST-0137,Lahore
#1149,2026-05-04T07:33:46Z,,2650.0,CUST-0138,Rahim Yar Khan
#1150,2026-05-04T07:43:54Z,,2350.0,CUST-0139,Karachi
