order,created_at,cancelled_at,total,customer,city
#1051,2026-03-29T13:24:49Z,,3649.0,CUST-0050,Muzzafargarh
#1052,2026-03-29T17:05:12Z,,3649.0,CUST-0051,Karachi
#1053,2026-03-29T17:16:01Z,,3649.0,CUST-0037,Islamabad
#1054,2026-03-29T18:43:21Z,,3749.0,CUST-0052,Rawalpindi
#1055,2026-03-29T20:55:23Z,,3649.0,CUST-0053,Lahore
#1056,2026-03-30T02:19:41Z,,3649.0,CUST-0054,Sialkot
#1057,2026-03-30T08:31:07Z,,3150.0,CUST-0055,Lahore
#1058,2026-03-30T09:17:26Z,2026-03-30T10:10:10Z,3649.0,CUST-0056,Lahore
#1059,2026-03-30T09:59:46Z,,150.0,CUST-0057,Lahore
#1060,2026-03-31T15:53:30Z,,3649.0,CUST-0058,Karachi
#1061,2026-03-31T16:15:32Z,,3150.0,CUST-0059,Karachi
#1062,2026-03-31T16:37:57Z,,3649.0,CUST-0060,Sialkot
#1063,2026-03-31T16:47:09Z,,4050.0,CUST-0061,Hyderabad
#1064,2026-03-31T17:22:14Z,,2250.0,CUST-0062,Karachi
#1065,2026-03-31T20:40:18Z,,4400.0,CUST-0063,Sheikhupura
#1066,2026-03-31T21:00:49Z,,1950.0,CUST-0064,Karachi
#1067,2026-04-01T05:53:17Z,,3649.0,CUST-0065,Lahore
#1068,2026-04-01T11:11:22Z,,3649.0,CUST-0066,Karachi
#1069,2026-04-01T14:58:49Z,,1950.0,CUST-0020,Islamabad
#1070,2026-04-01T17:16:51Z,,3649.0,CUST-0067,Islamabad
#1071,2026-04-01T19:06:31Z,,3649.0,CUST-0068,Hyderabad
#1072,2026-04-01T21:22:16Z,,3649.0,CUST-0069,Karachi
#1073,2026-04-02T01:19:29Z,,3130.0,CUST-0070,Islamabad
#1074,2026-04-02T16:00:52Z,,3150.0,CUST-0071,Karachi
#1075,2026-04-03T09:22:28Z,,3130.0,CUST-0072,Rawalpindi
#1076,2026-04-03T11:22:38Z,,3150.0,CUST-0033,Lahore
#1077,2026-04-03T14:03:34Z,2026-04-03T21:42:08Z,3150.0,CUST-0073,Lahore
#1078,2026-04-04T19:27:45Z,,2250.0,CUST-0074,Lahore
#1079,2026-04-05T15:49:58Z,,5960.0,CUST-0075,Khairpur
#1080,2026-04-06T10:10:57Z,,3150.0,CUST-0076,Karachi
#1081,2026-04-07T12:53:10Z,,2250.0,CUST-0077,Kahuta
#1082,2026-04-08T13:35:25Z,,3130.0,CUST-0078,Lahore
#1083,2026-04-08T22:38:38Z,2026-04-09T03:35:00Z,3649.0,CUST-0079,Lahore
#1084,2026-04-09T00:17:59Z,,3649.0,CUST-0080,Renala Khurd
#1085,2026-04-09T07:23:52Z,,3649.0,CUST-0081,Sukkur
#1086,2026-04-09T13:21:38Z,,3649.0,CUST-0082,Karachi
#1087,2026-04-09T15:19:46Z,,1850.0,CUST-0083,Mirpurkhas
#1088,2026-04-09T17:14:36Z,,3150.0,CUST-0084,Lahore
#1089,2026-04-09T18:30:18Z,,3649.0,CUST-0085,Rawalpindi
#1090,2026-04-09T20:43:07Z,,3649.0,CUST-0086,Karachi
#1091,2026-04-09T20:50:16Z,,3649.0,CUST-0087,Karachi
#1092,2026-04-11T13:49:50Z,,5960.0,CUST-0088,Karachi
#1093,2026-04-12T15:52:14Z,,2250.0,CUST-0089,Lahore
#1094,2026-04-14T21:22:45Z,,4700.0,CUST-0090,Islamabad
#1095,2026-04-16T11:33:23Z,,2430.0,CUST-0091,Mirpurkhas
#1096,2026-04-16T15:41:50Z,,3150.0,CUST-0092,Lahore
#1097,2026-04-16T16:21:55Z,,3649.0,CUST-0093,Karachi
#1098,2026-04-17T14:18:21Z,,3649.0,CUST-0094,Islamabad
#1099,2026-04-18T05:52:21Z,,1750.0,CUST-0095,Sahiwal
#1100,2026-04-18T14:07:08Z,,3649.0,CUST-0096,Karachi
