order,created_at,cancelled_at,total,customer,city
#1401,2026-06-08T19:50:00Z,,2789.12,CUST-0327,Multan
#1402,2026-06-08T20:23:43Z,,3650.0,CUST-0351,Hafizabad
#1403,2026-06-09T06:59:09Z,,3145.0,CUST-0352,Muzaffargarh
#1404,2026-06-09T08:34:29Z,,3145.0,CUST-0353,Lahore
#1405,2026-06-09T08:43:57Z,,3145.0,CUST-0354,Lahore
#1406,2026-06-09T13:19:15Z,,3145.0,CUST-0355,Lahore
#1407,2026-06-09T17:03:13Z,,3145.0,CUST-0356,Karachi
#1408,2026-06-09T17:22:48Z,,3649.0,CUST-0357,Karachi
#1409,2026-06-09T18:25:42Z,,9785.0,CUST-0358,Islamabad
#1410,2026-06-09T21:11:09Z,,3950.0,CUST-0359,Islamabad
#1411,2026-06-09T22:19:49Z,,5850.0,CUST-0360,Lahore
#1412,2026-06-10T02:08:21Z,,4275.0,CUST-0361,Islamabad
#1413,2026-06-10T06:01:25Z,,3950.0,CUST-0362,Islamabad
#1414,2026-06-10T08:10:44Z,,8075.0,CUST-0363,Lahore
#1415,2026-06-10T08:31:39Z,,9434.12,CUST-0364,Islamabad
#1416,2026-06-10T09:54:50Z,,7850.0,CUST-0365,Karachi
#1417,2026-06-10T12:18:44Z,,3950.0,CUST-0327,Multan
#1418,2026-06-10T15:47:56Z,,3145.0,CUST-0366,Lahore
#1419,2026-06-10T16:12:26Z,,3650.0,CUST-0367,Islamabad
#1420,2026-06-10T16:28:51Z,,3145.0,CUST-0368,Lahore
#1421,2026-06-10T18:35:17Z,,3145.0,CUST-0369,Karachi
#1422,2026-06-10T20:33:37Z,,3650.0,CUST-0370,Gujranwala
#1423,2026-06-10T20:52:27Z,,4275.0,CUST-0371,Karachi
#1424,2026-06-10T23:37:19Z,,3950.0,CUST-0240,Lahore
#1425,2026-06-11T02:16:28Z,,3649.0,CUST-0372,Karachi
#1426,2026-06-11T13:33:36Z,2026-06-15T10:49:06Z,4200.0,CUST-0373,Village Saghar Pur
#1427,2026-06-11T13:34:44Z,,9989.0,CUST-0374,Narowal
#1428,2026-06-11T14:01:29Z,,2789.12,CUST-0375,Karachi
#1429,2026-06-11T17:15:10Z,,4400.0,CUST-0376,Karachi
#1430,2026-06-11T17:50:34Z,,11550.0,CUST-0377,Naudero
#1431,2026-06-11T18:45:28Z,,4050.0,CUST-0378,Multan
#1432,2026-06-11T19:06:19Z,,3145.0,CUST-0379,Hyderabad
#1433,2026-06-11T21:52:42Z,,6439.12,CUST-0380,Islamabad
#1434,2026-06-12T06:38:10Z,,4050.0,CUST-0381,Islamabad
#1435,2026-06-12T07:03:28Z,,3950.0,CUST-0382,Islamabad
#1436,2026-06-12T07:06:08Z,,4200.0,CUST-0383,Lahore
#1437,2026-06-12T10:09:00Z,,3650.0,CUST-0384,Karachi
#1438,2026-06-12T11:17:01Z,2026-06-15T14:49:35Z,5634.12,CUST-0177,Gujranwala
#1439,2026-06-12T12:12:19Z,,3950.0,CUST-0385,Karachi
#1440,2026-06-12T15:36:41Z,,3650.0,CUST-0386,Lahore
#1441,2026-06-12T18:54:20Z,,3145.0,CUST-0387,Sahiwal
#1442,2026-06-12T21:42:46Z,,3950.0,CUST-0388,Karachi
#1443,2026-06-12T22:58:09Z,,2350.0,CUST-0389,Bahawalpur
#1444,2026-06-13T02:56:52Z,,3145.0,CUST-0390,Lahore
#1445,2026-06-13T09:01:18Z,,3145.0,CUST-0391,Lahore
#1446,2026-06-13T12:51:02Z,,3650.0,CUST-0392,Abbottabad
#1447,2026-06-13T13:12:32Z,,3145.0,CUST-0393,Lahore
#1448,2026-06-13T15:47:18Z,,3145.0,CUST-0394,Islamabad
#1449,2026-06-13T16:26:00Z,,3950.0,CUST-0395,Karachi
#1450,2026-06-13T16:43:59Z,,3650.0,CUST-0396,Lahore
