order,created_at,cancelled_at,total,customer,city
#1301,2026-05-30T11:38:38Z,,4200.0,CUST-0268,Lahore
#1302,2026-05-30T12:19:44Z,,3145.0,CUST-0235,Multan
#1303,2026-05-30T12:27:34Z,,7850.0,CUST-0269,Lahore
#1304,2026-05-30T12:32:17Z,,2789.12,CUST-0270,Mansehra
#1305,2026-05-30T14:05:19Z,,7850.0,CUST-0271,Karachi
#1306,2026-05-31T02:02:18Z,,3145.0,CUST-0272,Sargodha
#1307,2026-05-31T05:40:42Z,,3650.0,CUST-0273,Karachi
#1308,2026-05-31T07:42:59Z,,3950.0,CUST-0274,Karachi
#1309,2026-05-31T11:49:07Z,,3950.0,CUST-0275,Sahiwal
#1310,2026-05-31T12:28:43Z,,3140.0,CUST-0276,Lahore
#1311,2026-05-31T12:54:37Z,,6495.0,CUST-0277,Lahore
#1312,2026-05-31T20:18:33Z,2026-06-01T03:52:12Z,3145.0,CUST-0278,Okara
#1313,2026-06-01T02:04:33Z,,3145.0,CUST-0265,Lahore
#1314,2026-06-01T05:05:21Z,,10995.0,CUST-0279,Karachi
#1315,2026-06-01T05:09:38Z,,9794.0,CUST-0280,Lahore
#1316,2026-06-01T05:17:44Z,,12144.0,CUST-0281,Karachi
#1317,2026-06-01T10:41:54Z,,3649.0,CUST-0282,Bahawalpur
#1318,2026-06-01T11:42:35Z,,3950.0,CUST-0283,Islamabad
#1319,2026-06-01T11:46:27Z,,3145.0,CUST-0065,Lahore
#1320,2026-06-01T11:53:33Z,,3649.0,CUST-0284,Lahore
#1321,2026-06-01T12:47:50Z,,2789.12,CUST-0285,Karachi
#1322,2026-06-01T13:53:14Z,,7299.0,CUST-0286,Lahore
#1323,2026-06-01T15:20:12Z,,3650.0,CUST-0287,Rawalpindi
#1324,2026-06-01T16:30:10Z,,3145.0,CUST-0288,Faisalabad
#1325,2026-06-01T17:59:57Z,,3950.0,CUST-0289,Karachi
#1326,2026-06-01T18:32:40Z,,2799.12,CUST-0290,Karachi
#1327,2026-06-01T20:29:55Z,,3145.0,CUST-0291,Karachi
#1328,2026-06-01T21:36:59Z,,3145.0,CUST-0292,Lahore
#1329,2026-06-01T22:59:57Z,,3650.0,CUST-0293,Multan
#1330,2026-06-02T03:19:58Z,,3649.0,CUST-0294,Lahore
#1331,2026-06-02T14:44:32Z,,2845.5,CUST-0050,Muzzafargarh
#1332,2026-06-02T14:53:54Z,,3145.0,CUST-0295,Rawalpindi
#1333,2026-06-02T17:54:42Z,,2789.12,CUST-0296,Sargodha
#1334,2026-06-02T23:05:26Z,,3650.0,CUST-0297,Islamabad
#1335,2026-06-03T01:34:16Z,,3950.0,CUST-0298,Karachi
#1336,2026-06-03T03:28:07Z,,3950.0,CUST-0299,Lahore
#1337,2026-06-03T08:49:35Z,,3950.0,CUST-0300,Gujrat
#1338,2026-06-03T10:01:07Z,,8924.15,CUST-0301,Lahore
#1339,2026-06-03T12:21:22Z,,3145.0,CUST-0260,Lahore
#1340,2026-06-03T15:28:41Z,,3950.0,CUST-0302,Lahore
#1341,2026-06-03T16:18:06Z,,3650.0,CUST-0261,Lahore
#1342,2026-06-03T16:41:02Z,,4425.0,CUST-0303,Karachi
#1343,2026-06-03T16:44:55Z,,4425.0,CUST-0266,Mardan
#1344,2026-06-03T21:44:42Z,,2350.0,CUST-0304,Islamabad
#1345,2026-06-04T02:49:01Z,,3649.0,CUST-0305,Lahore
#1346,2026-06-04T04:11:14Z,,7299.0,CUST-0306,Lahore
#1347,2026-06-04T07:26:46Z,,4500.0,CUST-0307,Karachi
#1348,2026-06-04T07:39:08Z,,5994.0,CUST-0308,Lahore
#1349,2026-06-04T07:46:55Z,,11995.0,CUST-0309,Lahore
#1350,2026-06-04T12:30:34Z,,3650.0,CUST-0310,Lahore
