order,created_at,cancelled_at,total,customer,city
#1151,2026-05-04T07:53:35Z,,2650.0,CUST-0041,Rawalpindi
#1152,2026-05-04T08:31:11Z,,2650.0,CUST-0140,Lahore
#1153,2026-05-04T09:39:41Z,,2650.0,CUST-0141,Lahore
#1154,2026-05-04T09:42:47Z,,2650.0,CUST-0142,Sahiwal
#1155,2026-05-04T10:28:31Z,,2650.0,CUST-0143,Islamabad
#1156,2026-05-04T11:10:26Z,,2350.0,CUST-0144,Islamabad
#1157,2026-05-04T11:44:28Z,,1450.0,CUST-0145,Karachi
#1158,2026-05-04T12:01:49Z,,2650.0,CUST-0146,Sialkot
#1159,2026-05-04T13:42:06Z,,6000.0,CUST-0147,Lahore
#1160,2026-05-04T14:54:21Z,,2350.0,CUST-0148,Karachi
#1161,2026-05-04T15:22:25Z,,2650.0,CUST-0149,Karachi
#1162,2026-05-04T17:06:52Z,,2650.0,CUST-0072,Rawalpindi
#1163,2026-05-04T17:45:06Z,,3650.0,CUST-0150,Rawalpindi
#1164,2026-05-05T01:26:45Z,,7000.0,CUST-0151,Islamabad
#1165,2026-05-05T15:09:30Z,,2650.0,CUST-0152,Karachi
#1166,2026-05-05T17:17:49Z,,3650.0,CUST-0153,Muzzafargarh
#1167,2026-05-05T17:23:49Z,,3650.0,CUST-0050,Muzzafargarh
#1168,2026-05-05T17:30:13Z,,2650.0,CUST-0154,Punjab
#1169,2026-05-05T17:36:30Z,,2650.0,CUST-0155,Sadiqabad
#1170,2026-05-05T18:26:34Z,2026-05-05T19:38:04Z,3650.0,CUST-0143,Islamabad
#1171,2026-05-05T18:51:55Z,,3650.0,CUST-0156,Islamabad
#1172,2026-05-05T19:04:00Z,,3650.0,CUST-0109,Karachi
#1173,2026-05-05T20:18:09Z,,3650.0,CUST-0157,Rawalpindi
#1174,2026-05-06T04:34:58Z,,3650.0,CUST-0158,Lahore
#1175,2026-05-06T14:24:55Z,,3650.0,CUST-0159,Islamabad
#1176,2026-05-06T19:34:42Z,,3950.0,CUST-0160,Digri
#1177,2026-05-06T20:23:11Z,,3300.0,CUST-0142,Sahiwal
#1178,2026-05-06T20:40:10Z,,2650.0,CUST-0161,Lahore
#1179,2026-05-06T21:26:08Z,,4140.0,CUST-0162,Islamabad
#1180,2026-05-06T22:34:01Z,,2650.0,CUST-0163,Hyderabad
#1181,2026-05-07T03:10:49Z,,3950.0,CUST-0164,Peshawar
#1182,2026-05-07T11:21:04Z,,2650.0,CUST-0165,Karachi
#1183,2026-05-07T13:07:37Z,,4140.0,CUST-0160,Digri
#1184,2026-05-07T16:18:48Z,,3950.0,CUST-0166,Hyderabad
#1185,2026-05-07T16:22:46Z,,3650.0,CUST-0167,Multan
#1186,2026-05-07T18:08:55Z,,3950.0,CUST-0168,Karachi
#1187,2026-05-07T18:45:45Z,,2650.0,CUST-0133,Multan
#1188,2026-05-07T19:07:22Z,,3950.0,CUST-0169,Lahore
#1189,2026-05-08T12:28:33Z,,4140.0,CUST-0170,Lahore
#1190,2026-05-08T14:47:33Z,,3950.0,CUST-0171,Petaro
#1191,2026-05-08T15:23:11Z,,3950.0,CUST-0172,Karachi
#1192,2026-05-09T08:14:11Z,,2650.0,CUST-0173,Lahore
#1193,2026-05-09T14:36:43Z,,6000.0,CUST-0174,Hyderabad
#1194,2026-05-09T15:46:00Z,,2650.0,CUST-0175,Lahore
#1195,2026-05-09T17:44:58Z,,3950.0,CUST-0176,Kotri
#1196,2026-05-09T18:53:30Z,,3950.0,CUST-0177,Gujranwala
#1197,2026-05-09T20:53:25Z,,3950.0,CUST-0178,Lahore
#1198,2026-05-09T23:19:24Z,,2650.0,CUST-0179,Hyderabad
#1199,2026-05-10T09:02:59Z,,3950.0,CUST-0180,Lahore
#1200,2026-05-10T14:27:20Z,,2650.0,CUST-0181,Karachi
