order,created_at,cancelled_at,total,customer,city
#1001,2026-02-24T11:04:03Z,2026-03-03T19:56:44Z,3250.0,CUST-0001,Karachi
#1002,2026-03-05T12:13:58Z,,2250.0,CUST-0002,Karachi
#1003,2026-03-05T15:11:13Z,2026-03-05T22:57:37Z,3299.1,CUST-0003,Lahore
#1004,2026-03-06T07:03:57Z,,3950.0,CUST-0004,Lahore
#1005,2026-03-07T14:49:10Z,,3649.0,CUST-0005,Karachi
#1006,2026-03-08T11:06:23Z,,3150.0,CUST-0006,Karachi
#1007,2026-03-08T22:23:49Z,,3649.0,CUST-0007,Lahore
#1008,2026-03-09T12:25:49Z,,3499.0,CUST-0008,Karachi
#1009,2026-03-09T13:03:16Z,,2974.15,CUST-0009,Karachi
#1010,2026-03-09T13:04:27Z,,2974.15,CUST-0010,Karachi
#1011,2026-03-09T14:39:23Z,,2974.15,CUST-0011,Islamabad
#1012,2026-03-09T14:49:45Z,,2974.15,CUST-0012,Lahore
#1013,2026-03-09T18:39:26Z,,3499.0,CUST-0013,Hyderabad
#1014,2026-03-09T21:17:42Z,,1938.0,CUST-0014,Lahore
#1015,2026-03-10T02:33:42Z,,2974.15,CUST-0015,Islamabad
#1016,2026-03-10T10:40:55Z,,3499.0,CUST-0016,Faisalabad
#1017,2026-03-10T21:55:02Z,,4250.0,CUST-0017,Islamabad
#1018,2026-03-11T01:00:42Z,,2974.15,CUST-0018,Bahawalnagar
#1019,2026-03-11T05:57:23Z,,5199.0,CUST-0019,Islamabad
#1020,2026-03-11T15:50:42Z,,5834.25,CUST-0020,Islamabad
#1021,2026-03-11T21:57:40Z,,3649.0,CUST-0021,Lahore
#1022,2026-03-12T17:15:39Z,,1950.0,CUST-0022,Hyderabad
#1023,2026-03-13T01:58:09Z,,3649.0,CUST-0023,Karachi
#1024,2026-03-16T00:40:18Z,,3649.0,CUST-0024,Quetta
#1025,2026-03-16T14:19:49Z,,150.0,CUST-0025,Rawalpindi
#1026,2026-03-16T21:09:43Z,,3649.0,CUST-0026,Karachi
#1027,2026-03-18T07:48:16Z,,3649.0,CUST-0027,Karachi
#1028,2026-03-18T09:47:18Z,,3649.0,CUST-0028,Hyderabad
#1029,2026-03-19T00:49:24Z,,3649.0,CUST-0029,Gujrat
#1030,2026-03-19T03:48:24Z,,2250.0,CUST-0014,Lahore
#1031,2026-03-22T01:33:59Z,,3649.0,CUST-0030,Karachi
#1032,2026-03-22T17:33:30Z,,5449.0,CUST-0031,Nawabshah
#1033,2026-03-22T21:54:00Z,,5929.0,CUST-0032,Hyderabad
#1034,2026-03-23T02:33:49Z,,3150.0,CUST-0033,Sialkot
#1035,2026-03-23T09:30:34Z,,3649.0,CUST-0034,Karachi
#1036,2026-03-24T00:29:46Z,,5749.0,CUST-0035,Karachi
#1037,2026-03-24T07:29:53Z,,2250.0,CUST-0036,Karachi
#1038,2026-03-24T09:25:40Z,,1950.0,CUST-0037,Islamabad
#1039,2026-03-24T17:42:41Z,,3649.0,CUST-0038,Karachi
#1040,2026-03-24T18:44:28Z,,3649.0,CUST-0039,Okara
#1041,2026-03-24T21:06:09Z,,2430.0,CUST-0040,Karachi
#1042,2026-03-25T11:37:33Z,,3649.0,CUST-0041,Rawalpindi
#1043,2026-03-25T14:11:47Z,,3649.0,CUST-0042,Peshawar
#1044,2026-03-25T14:59:54Z,,3649.0,CUST-0043,Sialkot
#1045,2026-03-25T18:06:42Z,,3649.0,CUST-0044,Lahore
#1046,2026-03-26T13:25:52Z,,3150.0,CUST-0045,Karachi
#1047,2026-03-27T05:18:59Z,,3649.0,CUST-0046,Karachi
#1048,2026-03-27T13:18:37Z,,3649.0,CUST-0047,Islamabad
#1049,2026-03-29T02:43:30Z,,2250.0,CUST-0048,Karachi
#1050,2026-03-29T09:12:15Z,,4750.0,CUST-0049,Rawalpindi
