order,created_at,cancelled_at,total,customer,city
#1351,2026-06-04T13:30:22Z,2026-06-04T13:46:55Z,4200.0,CUST-0311,Karachi
#1352,2026-06-04T13:34:52Z,2026-06-04T14:07:32Z,3997.5,CUST-0311,Karachi
#1353,2026-06-04T14:06:15Z,2026-06-04T14:11:34Z,3145.0,CUST-0312,Karachi
#1354,2026-06-04T14:09:07Z,,5345.0,CUST-0312,Karachi
#1355,2026-06-04T14:48:34Z,,3950.0,CUST-0313,Karachi
#1356,2026-06-04T15:06:15Z,,3950.0,CUST-0314,Rawalpindi
#1357,2026-06-04T17:38:13Z,,8075.0,CUST-0315,Mirpur AJK
#1358,2026-06-04T17:42:03Z,,3145.0,CUST-0316,Karachi
#1359,2026-06-04T18:12:10Z,,3650.0,CUST-0317,Hyderabad
#1360,2026-06-04T20:13:32Z,,6795.0,CUST-0318,Karachi
#1361,2026-06-05T04:08:47Z,,5634.12,CUST-0319,Lahore
#1362,2026-06-05T07:09:24Z,,3950.0,CUST-0320,Karachi
#1363,2026-06-05T10:14:10Z,,6860.0,CUST-0321,Gujranwala
#1364,2026-06-05T13:35:16Z,,3650.0,CUST-0322,Lahore
#1365,2026-06-05T14:42:35Z,,2350.0,CUST-0297,Islamabad
#1366,2026-06-05T16:20:37Z,,3145.0,CUST-0323,Karachi
#1367,2026-06-05T16:46:35Z,2026-06-05T20:01:34Z,3145.0,CUST-0324,Sahiwal
#1368,2026-06-05T16:49:02Z,,6645.0,CUST-0324,Sahiwal
#1369,2026-06-05T18:28:50Z,,4200.0,CUST-0162,Islamabad
#1370,2026-06-06T06:06:21Z,,4200.0,CUST-0268,Lahore
#1371,2026-06-06T09:22:42Z,,3950.0,CUST-0325,Lahore
#1372,2026-06-06T10:43:43Z,,6138.12,CUST-0326,Faisalabad
#1373,2026-06-06T10:54:54Z,,3950.0,CUST-0327,Multan
#1374,2026-06-06T13:23:35Z,,3950.0,CUST-0328,Lahore
#1375,2026-06-06T13:38:33Z,,3140.0,CUST-0267,Karachi
#1376,2026-06-06T15:54:08Z,,3650.0,CUST-0329,Lahore
#1377,2026-06-06T17:22:19Z,,3140.0,CUST-0330,Islamabad
#1378,2026-06-06T18:13:11Z,,3650.0,CUST-0331,Thatta
#1379,2026-06-06T19:26:02Z,,3649.0,CUST-0332,Faisalabad
#1380,2026-06-06T19:39:35Z,,3650.0,CUST-0189,Karachi
#1381,2026-06-06T23:39:40Z,,3145.0,CUST-0021,Lahore
#1382,2026-06-06T23:53:46Z,2026-06-08T05:10:19Z,3145.0,CUST-0333,Lahore
#1383,2026-06-07T08:16:02Z,,8629.12,CUST-0334,Islamabad
#1384,2026-06-07T08:18:33Z,,5634.12,CUST-0335,Nawabshah
#1385,2026-06-07T08:47:26Z,,4200.0,CUST-0336,Multan
#1386,2026-06-07T10:17:59Z,,2999.0,CUST-0309,Lahore
#1387,2026-06-07T11:07:12Z,,9434.12,CUST-0337,Karachi
#1388,2026-06-07T11:30:22Z,,6439.12,CUST-0338,Gujranwala
#1389,2026-06-07T12:24:54Z,,3145.0,CUST-0339,Karachi
#1390,2026-06-07T14:53:25Z,,3145.0,CUST-0340,Mianwali
#1391,2026-06-07T16:19:12Z,,6795.0,CUST-0341,Rawalpindi
#1392,2026-06-08T06:00:00Z,,3649.0,CUST-0342,Islamabad
#1393,2026-06-08T07:55:31Z,,6859.02,CUST-0343,Tandojam
#1394,2026-06-08T08:13:56Z,,4425.0,CUST-0344,Lahore
#1395,2026-06-08T08:56:16Z,,4425.0,CUST-0345,Raiwind
#1396,2026-06-08T14:15:00Z,,3950.0,CUST-0346,Lahore
#1397,2026-06-08T16:41:00Z,,2789.12,CUST-0347,Karachi
#1398,2026-06-08T16:54:04Z,,5634.12,CUST-0348,Lahore
#1399,2026-06-08T17:14:16Z,,5634.12,CUST-0349,Lahore
#1400,2026-06-08T18:26:44Z,,2789.12,CUST-0350,Bahawalpur
