order,created_at,cancelled_at,total,customer,city
#1451,2026-06-13T16:53:16Z,,3140.0,CUST-0397,Rawalpindi
#1452,2026-06-13T18:57:10Z,,3145.0,CUST-0398,Sujawal
#1453,2026-06-13T20:28:30Z,,3650.0,CUST-0260,Lahore
#1454,2026-06-13T20:52:17Z,,3950.0,CUST-0399,Gujranwala
#1455,2026-06-14T00:51:25Z,,3650.0,CUST-0125,Karachi
#1456,2026-06-14T04:52:09Z,,3650.0,CUST-0400,Jand
#1457,2026-06-14T07:39:37Z,,14793.0,CUST-0401,Karachi
#1458,2026-06-14T13:32:36Z,,3145.0,CUST-0402,Lahore
#1459,2026-06-14T13:48:26Z,,3650.0,CUST-0351,Hafizabad
#1460,2026-06-14T15:57:35Z,,3145.0,CUST-0094,Islamabad
#1461,2026-06-14T17:24:19Z,,3650.0,CUST-0403,Faisalabad
#1462,2026-06-14T18:34:57Z,,3145.0,CUST-0404,Karachi
#1463,2026-06-14T18:51:10Z,,6000.0,CUST-0405,Karachi
#1464,2026-06-14T20:30:26Z,,3950.0,CUST-0240,Lahore
#1465,2026-06-15T08:00:30Z,,3649.0,CUST-0406,Islamabad
#1466,2026-06-15T08:26:36Z,,3650.0,CUST-0407,Islamabad
#1467,2026-06-15T10:52:25Z,,3145.0,CUST-0408,Islamabad
#1468,2026-06-15T11:09:09Z,,3949.05,CUST-0409,Karachi
#1469,2026-06-15T11:29:47Z,,3949.05,CUST-0410,Karachi
#1470,2026-06-15T11:52:41Z,,11299.0,CUST-0225,Lahore
#1471,2026-06-15T14:10:56Z,,3649.0,CUST-0411,Hyderabad
#1472,2026-06-15T16:25:27Z,,3650.0,CUST-0412,Islamabad
#1473,2026-06-15T18:50:23Z,,3950.0,CUST-0413,Karachi
#1474,2026-06-15T19:04:45Z,,3950.0,CUST-0414,Mananwala
#1475,2026-06-15T19:19:27Z,,3650.0,CUST-0415,Lahore
#1476,2026-06-15T20:42:24Z,,2789.12,CUST-0416,Lahore
#1477,2026-06-15T23:44:50Z,,3950.0,CUST-0417,Lahore
#1478,2026-06-16T08:20:37Z,,5634.12,CUST-0418,Islamabad
#1479,2026-06-16T11:34:42Z,,3950.0,CUST-0419,Karachi
#1480,2026-06-16T14:49:03Z,,2789.12,CUST-0420,Hyderabad
#1481,2026-06-16T15:10:16Z,,3150.0,CUST-0421,Gojra
#1482,2026-06-16T15:11:43Z,,6999.0,CUST-0422,Lahore
#1483,2026-06-16T16:59:34Z,,1650.0,CUST-0423,Karachi
#1484,2026-06-16T17:12:48Z,2026-06-17T09:43:38Z,13229.12,CUST-0424,Lahore
#1485,2026-06-16T17:18:41Z,,12424.12,CUST-0424,Lahore
#1486,2026-06-16T17:38:46Z,,3145.0,CUST-0425,Rawalpindi
#1487,2026-06-16T19:03:20Z,,3649.0,CUST-0426,Rawalpindi
#1488,2026-06-16T19:39:26Z,,3145.0,CUST-0427,Karachi
#1489,2026-06-16T19:41:19Z,,3650.0,CUST-0428,Gujranwala
#1490,2026-06-16T20:44:41Z,,3950.0,CUST-0429,Karachi
#1491,2026-06-16T21:39:15Z,,5634.12,CUST-0430,Larkana
#1492,2026-06-16T22:19:03Z,,3145.0,CUST-0431,Islamabad
#1493,2026-06-17T04:49:41Z,,3650.0,CUST-0432,Lahore
#1494,2026-06-17T05:08:51Z,,5400.0,CUST-0433,Nowshera
#1495,2026-06-17T08:33:29Z,,3145.0,CUST-0278,Okara
#1496,2026-06-17T09:40:00Z,,3650.0,CUST-0434,Lahore
#1497,2026-06-17T11:54:27Z,,3145.0,CUST-0435,Wah Cantt
#1498,2026-06-17T13:42:52Z,,3950.0,CUST-0436,Lahore
#1499,2026-06-17T14:12:21Z,,7299.0,CUST-0437,Sargodha
#1500,2026-06-17T15:47:37Z,,3650.0,CUST-0438,Islamabad
